Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Barometer Temperature,Barometer Pressure,Barometer Altitude,Steps
2024-06-18T20:42:36.000Z,,,,106,93,,31.98142445882,988.18669573717,210.79052867625,0
2024-06-18T20:42:46.000Z,,,,100,5,,31.97654673258,988.24793867041,210.27020619028,7
2024-06-18T20:42:56.000Z,,,,103,36,,31.99403686523,988.15320887007,211.07504552157,0
2024-06-18T20:43:06.000Z,,,,103,34,,31.97529246012,988.19223986131,210.74342449415,0
2024-06-18T20:43:16.000Z,,,,95,70,,31.96086832682,988.31004926328,209.74253869781,0
2024-06-18T20:43:26.000Z,,,,90,70,,31.94323883056,988.12525175363,211.31258553370,0
2024-06-18T20:43:36.000Z,,,,97,41,,31.93195037841,988.16446925362,210.97937225451,0
2024-06-18T20:43:46.000Z,,,,97,7,,31.93327433268,988.13456514426,211.23345291548,0
2024-06-18T20:43:56.000Z,,,,93,77,,31.94233296712,988.18193738803,210.83095689988,0
2024-06-18T20:44:06.000Z,,,,93,84,,31.95167032877,988.17797829919,210.86459451162,0
2024-06-18T20:44:16.000Z,,,,84,69,,31.94923146565,988.15844727017,211.03053761595,0
2024-06-18T20:44:26.000Z,,,,84,88,,31.99473368326,988.15388042096,211.06933969943,0
2024-06-18T20:44:36.000Z,,,,84,75,,32.02880808512,988.21361774565,210.56179496609,0
2024-06-18T20:44:46.000Z,,,,88,78,,32.02448781331,988.14489613922,211.14567477616,0
2024-06-18T20:44:56.000Z,,,,88,48,,32.05584462483,988.13786118467,211.20544775919,0
2024-06-18T20:45:06.000Z,,,,82,12,,32.08552907307,988.03259943822,212.09985269670,0
2024-06-18T20:45:16.000Z,,,,84,0,,32.11298370361,988.09469866384,211.57218867689,0
2024-06-18T20:45:26.000Z,,,,94,94,,32.12887115478,988.08814245360,211.62789625591,0
2024-06-18T20:45:36.000Z,,,,102,56,,32.08768920898,988.11399863856,211.40820011678,0
2024-06-18T20:45:46.000Z,,,,107,41,,32.06225535074,988.11927957661,211.36332934791,0
2024-06-18T20:45:56.000Z,,,,100,30,,32.05187276204,988.14832217939,211.11656531114,0
2024-06-18T20:46:06.000Z,,,,90,84,,32.0283203125,988.14934174428,211.10790255972,0
2024-06-18T20:46:16.000Z,,,,88,77,,32.01556854248,988.15712586995,211.04176483435,0
2024-06-18T20:46:26.000Z,,,,86,94,,31.98678995768,988.12320068793,211.33001280175,0
2024-06-18T20:46:36.000Z,,,,91,53,,32.00685831705,988.02116777489,212.19699173684,0
2024-06-18T20:46:46.000Z,,,,93,0,,32.03598531087,988.16980263612,210.93405775375,0
2024-06-18T20:46:56.000Z,,,,116,0,,32.04190826416,988.11482662821,211.40116488938,7
2024-06-18T20:47:06.000Z,,,,115,48,,32.04149017333,988.11303525950,211.41638572121,0
